Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Platform,Rank,Map
Reinhardt,TANK,10.08,49.85,2.75,7.33,XBL,All,Tower
Moira,SUPPORT,7.4,51,2.55,9.59,XBL,All,Route 66
Mercy,SUPPORT,6.57,49.88,2.64,1.8,XBL,All,Lijiang
L�cio,SUPPORT,6.18,52.36,2.18,13.16,XBL,All,Route 66
D.Va,TANK,5.64,51.49,2.34,7.84,XBL,All,Lijiang
Baptiste,SUPPORT,5.04,49.11,2.47,11.99,XBL,All,Tower
Zarya,TANK,4.44,48.85,2.47,10.05,XBL,All,Dorado
Orisa,TANK,4.27,55.28,2.6,8.85,XBL,All,Horizon Lunar Colony
Ana,SUPPORT,4.04,47.95,2.35,9.26,XBL,All,Eichenwalde
Roadhog,TANK,3.89,50.91,1.95,10.07,XBL,All,Hollywood
Hanzo,DEFENSE,3.3,48.7,2.39,13.74,XBL,All,Hanamura
Wrecking Ball,TANK,3.03,50.96,1.97,3.25,XBL,All,Hollywood
Junkrat,DEFENSE,2.92,51.66,3.05,11.79,XBL,All,Hollywood
Genji,OFFENSE,2.88,48.41,2.07,10.1,XBL,All,King's Row
Reaper,OFFENSE,2.83,51.06,2.12,17.09,XBL,All,Route 66
Zenyatta,SUPPORT,2.75,52.69,2.37,6.81,XBL,All,Eichenwalde
McCree,OFFENSE,2.65,47.63,1.93,11.07,XBL,All,Dorado
Widowmaker,DEFENSE,2.59,48.79,2.01,9.16,XBL,All,Hanamura
Soldier: 76,OFFENSE,2.46,50.16,1.99,11.47,XBL,All,Dorado
Ashe,OFFENSE,2.17,51.42,2.28,10.01,XBL,All,King's Row
Brigitte,SUPPORT,1.88,54.84,2.13,11.78,XBL,All,Eichenwalde
Torbj�rn,DEFENSE,1.71,56.12,2.75,9.74,XBL,All,Eichenwalde
Winston,TANK,1.64,48.11,1.66,5.48,XBL,All,Hollywood
Sombra,OFFENSE,1.64,46.04,2.31,14.32,XBL,All,Dorado
Symmetra,SUPPORT,1.61,57.4,3.06,10.08,XBL,All,Route 66
Tracer,OFFENSE,1.48,47.48,1.74,8.54,XBL,All,Tower
Mei,DEFENSE,1.48,51.97,2.49,10.75,XBL,All,King's Row
Doomfist,OFFENSE,1.32,50.9,1.54,8.4,XBL,All,Lijiang
Pharah,OFFENSE,1.17,48.61,2.3,10.65,XBL,All,Horizon Lunar Colony
Bastion,DEFENSE,0.94,50.64,3.26,15.74,XBL,All,Horizon Lunar Colony
Moira,SUPPORT,13.56,44.36,1.3,7.02,XBL,Bronze,Eichenwalde
Mercy,SUPPORT,9.13,42.54,2.2,1.08,XBL,Bronze,Tower
D.Va,TANK,8.18,48.9,1.85,6.38,XBL,Bronze,Hollywood
Orisa,TANK,6.09,53.22,3.72,5.87,XBL,Bronze,Hollywood
L�cio,SUPPORT,5.79,35.4,1.74,7.56,XBL,Bronze,Hollywood
Reinhardt,TANK,5.28,38.81,4.29,6.66,XBL,Bronze,Dorado
Sombra,OFFENSE,3.57,23.4,0.7,4.63,XBL,Bronze,Dorado
Baptiste,SUPPORT,3.07,48.36,0,7.58,XBL,Bronze,Dorado
Zenyatta,SUPPORT,3.07,50.83,1.64,4.81,XBL,Bronze,Dorado
Symmetra,SUPPORT,2.89,53.57,2.61,9.11,XBL,Bronze,Tower
Junkrat,DEFENSE,2.89,44.64,2.61,10.56,XBL,Bronze,King's Row
Brigitte,SUPPORT,2.77,55.66,3.64,11.01,XBL,Bronze,Lijiang
Wrecking Ball,TANK,2.72,21.7,1.85,2.04,XBL,Bronze,Dorado
Ashe,OFFENSE,2.39,42.39,3.16,7.76,XBL,Bronze,Hanamura
Pharah,OFFENSE,2.32,38.04,0,8.36,XBL,Bronze,Lijiang
Soldier: 76,OFFENSE,2.29,52.75,0,13,XBL,Bronze,Lijiang
Doomfist,OFFENSE,2.21,29.07,2.27,4.78,XBL,Bronze,Lijiang
Bastion,DEFENSE,2.19,42.35,2.3,13.06,XBL,Bronze,Eichenwalde
Reaper,OFFENSE,2.16,40.96,3.49,11.41,XBL,Bronze,Horizon Lunar Colony
Mei,DEFENSE,2.06,35.8,1.22,8.86,XBL,Bronze,King's Row
Widowmaker,DEFENSE,1.96,35.06,1.28,9.24,XBL,Bronze,Lijiang
Roadhog,TANK,1.91,30.67,1.32,8.24,XBL,Bronze,Hollywood
McCree,OFFENSE,1.91,36.49,2.63,6.99,XBL,Bronze,Dorado
Hanzo,DEFENSE,1.86,38.89,2.7,16.08,XBL,Bronze,Dorado
Tracer,OFFENSE,1.61,45.31,0,10.14,XBL,Bronze,Tower
Ana,SUPPORT,1.53,32.2,3.28,7.71,XBL,Bronze,Lijiang
Torbj�rn,DEFENSE,1.51,33.33,0,5.1,XBL,Bronze,Lijiang
Genji,OFFENSE,1.13,13.33,0,5.33,XBL,Bronze,Tower
Zarya,TANK,1.01,41.03,2.5,6.06,XBL,Bronze,King's Row
Winston,TANK,0.91,54.29,2.78,2.94,XBL,Bronze,King's Row
Moira,SUPPORT,10.62,48.04,2.57,8.8,XBL,Silver,Horizon Lunar Colony
Mercy,SUPPORT,8.7,46.43,3,1.37,XBL,Silver,Hollywood
D.Va,TANK,8.62,47.23,1.86,7.22,XBL,Silver,Eichenwalde
Reinhardt,TANK,7.87,46.22,2.91,6.23,XBL,Silver,Route 66
L�cio,SUPPORT,6.62,49.3,1.99,11.44,XBL,Silver,Horizon Lunar Colony
Orisa,TANK,5.2,51.24,2.84,7.08,XBL,Silver,Lijiang
Junkrat,DEFENSE,3.77,46.09,3,11.87,XBL,Silver,Dorado
Baptiste,SUPPORT,3.75,43.65,2.35,10,XBL,Silver,Route 66
Reaper,OFFENSE,3,42.08,1.36,15.71,XBL,Silver,Hollywood
Zenyatta,SUPPORT,2.86,48.36,2.75,7.94,XBL,Silver,Tower
Ana,SUPPORT,2.73,40.64,3.56,7.23,XBL,Silver,Hanamura
Hanzo,DEFENSE,2.7,46.51,3.14,11.62,XBL,Silver,Dorado
Symmetra,SUPPORT,2.61,57.55,2.65,9.75,XBL,Silver,Route 66
Soldier: 76,OFFENSE,2.52,44.3,2.5,11.18,XBL,Silver,Dorado
Torbj�rn,DEFENSE,2.45,49.34,2.69,9.29,XBL,Silver,King's Row
Zarya,TANK,2.37,45.12,2.25,6.55,XBL,Silver,Lijiang
Brigitte,SUPPORT,2.31,54.03,2.17,10.67,XBL,Silver,Hollywood
Roadhog,TANK,2.25,43.37,2.09,8.1,XBL,Silver,Hollywood
Ashe,OFFENSE,2.15,49.78,2.19,7.6,XBL,Silver,Hollywood
Wrecking Ball,TANK,2.08,44.22,3.18,2.9,XBL,Silver,Lijiang
Widowmaker,DEFENSE,2.07,40.43,1.52,6.79,XBL,Silver,Route 66
Bastion,DEFENSE,1.92,46.82,2.13,14.78,XBL,Silver,Hollywood
Sombra,OFFENSE,1.82,42.5,2.24,9.86,XBL,Silver,Hollywood
Mei,DEFENSE,1.77,48.18,2.66,10.97,XBL,Silver,Horizon Lunar Colony
Pharah,OFFENSE,1.57,46.93,2.2,7.35,XBL,Silver,Tower
Genji,OFFENSE,1.45,45.49,1.52,8.22,XBL,Silver,Horizon Lunar Colony
Winston,TANK,1.38,43.19,1.37,4.35,XBL,Silver,Hollywood
Tracer,OFFENSE,1.23,45.5,1.02,8.22,XBL,Silver,Lijiang
McCree,OFFENSE,1.12,39.89,1.4,8.34,XBL,Silver,Eichenwalde
